Kategoria#Kwartał#Wartość
Elektronika#Q1 2023#1250,75
Elektronika#Q2 2023#1389,20
Elektronika#Q3 2023#1456,90
Elektronika#Q4 2023#1678,35
Odzież#Q1 2023#892,40
Odzież#Q2 2023#945,80
Odzież#Q3 2023#1120,15
Odzież#Q4 2023#1340,25
Dom_i_Ogród#Q1 2023#567,30
Dom_i_Ogród#Q2 2023#634,85
Dom_i_Ogród#Q3 2023#789,60
Dom_i_Ogród#Q4 2023#823,45
Sport#Q1 2023#445,20
Sport#Q2 2023#512,75
Sport#Q3 2023#598,90
Sport#Q4 2023#634,50
Książki#Q1 2023#234,80
Książki#Q2 2023#189,45
Książki#Q3 2023#267,35
Książki#Q4 2023#298,70
